answer_id,question_id,answer_text,is_correct
1,1,"Операция UNION возвращает только уникальные записи из результирующего набора данных, а UNION ALL вернет все строки, даже если одна или несколько строк дублируются друг с другом",True
2,1,"Операция UNION возвращает все строки, даже если одна или несколько строк дублируются друг с другом, а UNION ALL возвращает только уникальные записи.",False
3,1,Операция UNION и UNION ALL эквивалентны и возвращают одинаковые результаты.,False
4,1,"Операция UNION быстрее, чем UNION ALL, так как не проверяет на дубликаты.",False
5,2,"AND имеет больший приоритет, нежели OR.",True
6,2,"OR имеет больший приоритет, нежели AND.",False
7,2,AND и OR имеют одинаковый приоритет.,False
8,2,Приоритет операторов зависит от контекста запроса.,False
9,4,"5, потому что подсчитаются все строки таблицы независимо от их содержания.",True
10,4,"6, потому что подсчитываются ненулевые элементы таблицы",False
11,4,"4, потому что подсчитываются нулевые элементы таблицы.",False
12,4,"2, потому что запрос не учитывает строки с null значениями.",False
13,6,"5, COUNT(1) работает так же, как COUNT(*) — он считает все строки в таблице, даже если в них есть NULL",True
14,6,"1, потому что подсчитываются элементы таблицы равные 1",False
15,6,"3, потому что подсчитываются ненулевые элементы таблицы которые встречаются в таблице один раз {1,3,5)",False
16,6,"2, потому что запрос подсчитывает строки без null значений",False
17,7,"3, COUNT(id1) считает только строки, где значения в столбце id1 не NULL",True
18,7,"5, потому что COUNT(id1) считает все строки таблицы в столбце id1 в том числе NULL",False
19,7,"Ошибку, потому что согласно синтаксису должно быть COUNT(`id1`) ",False
20,7,"2, потому что COUNT(id1) учитывает только строки с значениями не NULL в обоих столбцах",False
25,9,"5, потому что COUNT(expression) считает количество НЕ NULL значений, а 'id1' - строковая константа и она всегда НЕ NULL. PostgreSQL не интерпретирует строковый литерал как имя столбца",True
26,9,"3, потому что COUNT(column)	возвращает количество строк, где column IS NOT NULL",False
27,9,"Ошибку, потому что 'id1' не является названием столбца. Необходимо писать просто id1",False
28,9,"Ошибку, потому что 'id1' не является названием столбца. Необходимо писать просто ""id1""",False
29,10,"3, потому что COUNT(expression) считает количество НЕ NULL значений внутри столбца, если задан столбец. PostgreSQL разрешает имена столбцов в двойных кавычках ""id2""",True
30,10,"5, потому что 5, потому что COUNT(expression) считает количество НЕ NULL значений, а ""id2"" - строковая константа и она всегда НЕ NULL. PostgreSQL не разрешает создавать имя столбца в двойных кавычках",False
31,10,"Ошибку, потому что ""id2"" не является названием столбца. Необходимо писать просто id2",False
32,10,"2, потому что COUNT(""id2"") учитывает только строки с NULL значениями",False
33,11,"0, потому что NULL в PostgreSQL не считается значением — это ""отсутствие данных"". COUNT(expression) игнорирует NULL и результат будет 0",True
34,11,"4, потому что COUNT(NULL) тогда считает количество NULL значений в таблице",False
35,11,"3, потому что COUNT(NULL) возвращает количество строк, где column IS NOT NULL",False
36,11,"Ошибку, потому что NULL в PostgreSQL не считается выражением (expression), а COUNT(expression) требует выражение на вход",False
37,12,"2, потому что COUNT(DISTINCT id1) считает количество УНИКАЛЬНЫХ НЕ NULL значений в id1. В таблице это {2, 5}, вторую двуйку {2} в последней строке не учитываем, потому что она уже была выше во второй строке",True
38,12,"0, потому что COUNT(DISTINCT id1) сначала выполняет DISTINCT, а из-зи наличия NULL в столбце операция возвращает NULL. А COUNT(NULL) = 0",False
39,12,"5, потому что COUNT(DISTINCT id1) считает количество всех значений в id1, включая NULL, аналогично COUNT(id1)",False
40,12,"3, потому что COUNT(DISTINCT id1) считает все строки таблицы со значениями НЕ NULL",False
41,13,"Ошибку, PostgreSQL не поддерживает использование COUNT(DISTINCT id1, id2) для подсчета уникальных комбинаций значений в нескольких столбцах. Функция COUNT с несколькими аргументами типа integer не существует",True
42,13,"4, потому что COUNT(DISTINCT id1, id2) считает количество уникальных комбинаций значений в столбцах id1 и id2",False
43,13,"2, потому что COUNT(DISTINCT id1, id2) считает количество уникальных комбинаций значений в столбцах id1 и id2 не учитывая те в которых есть NULL",False
44,13,"2, потому что COUNT(DISTINCT id1, id2) считает количество уникальных комбинаций значений в столбцах id1 и id2 в которых есть NULL",False
45,14,"5, потому что SUM(1) суммирует единицу для каждой строки таблицы, независимо от значений в колонках, потому что эта константа (1) отлична от NULL",True
46,14,"1, потому что SUM(1) просто суммирует единицу как математическая функция",False
47,14,"Ошибку, потому что в SUM(columns) можно использовать только название столбца",False
48,14,"2, SUM(1) суммирует единицу только для строк без значений NULL в обоих столбцах одновременно",False
49,15,"9, потому что SUM(id1) складывает только значения столбца id1 (2, 5, 2), пропуская NULL",True
50,15,"3, потому что SUM(id1) считает кол-во строк столбца id1 (2, 5, 2), пропуская NULL",False
51,15,"0, потому что SUM(id1) при сложении знаяений NULL возвращает 0 как COUNT(NULL)",False
52,15,"7, потому что SUM(id1) складывает только уникальные значения столбца id1, пропуская NULL",False
53,16,"9, потому что SUM(expression) вычисляет сумму значений выражения (id1 + id2), подставляя в него значения из каждой строки, игнорируя NULL которые получаются после сложения {2 + 2 , 2 + 3}. Если в любой из колонок (id1 или id2) в строке есть NULL, то выражение id1 + id2 тоже становится NULL",True
54,16,"15, потому что SUM(expression) вычисляет сумму значений выражения (id1 + id2), подставляя в него значения из каждой строки, включая NULL {1, 2 + 2 , 5, 2 + 3}",False
55,16,"5, потому что SUM(expression) вычисляет сумму значений выражения (id1 + id2), подставляя в него значения из каждой строки, игнорируя строки с NULL. SUM() не считает выражение, если одно из значений NULL",False
56,16,"0, потому что SUM(expression) складывает все значения включая NULL. И как мы знаем, если сложить NULL с любым значением мы получим NULL",False
57,17,"6, потому что SUM(expression) считает сумму по всем НЕ NULL значениям внутри столбца, если задан столбец. PostgreSQL разрешает имена столбцов в двойных кавычках ""id2""",True
58,17,"Ошибку, потому что ""id2"" не является названием столбца. Необходимо писать просто id2",False
59,17,"NULL, потому что SUM(expression) считает сумму по всем значениям внутри столбца, включая NULL {1, 2, NULL, NULL, 3}. А как мы знаем NULL плюс любое значение вернет NULL",False
60,17,"0, потому что SUM(expression) считает сумму по всем значениям внутри столбца, включая NULL {1, 2, NULL, NULL, 3}. А как мы знаем NULL плюс любое значение вернет NULL. А SUM(NULL) как и COUNT(NULL) вернет 0",False
61,18,"Ошибку, потому что PostgreSQL не поддерживает использование SUM(id1, id2) для подсчета значений в нескольких столбцах. Функция SUM с несколькими аргументами типа integer не существует",True
62,18,"15, потому что SUM(id1, id2) суммирует значения обоих столбцов",False
63,18,"9, потому что SUM(id1, id2) суммирует значения обоих столбцов, игнорируя NULL",False
64,18,"0, потому что SUM(id1, id2) считает сумму по всем значениям внутри заданных столбцов, включая NULL. А как мы знаем NULL плюс любое значение вернет NULL. А SUM(NULL) как и COUNT(NULL) вернет 0",False
65,19,"Ошибку, потому что PostgreSQL не поддерживает использование SUM(DISTINCT id1, id2) для подсчета значений в нескольких столбцах. Функция SUM с несколькими аргументами типа integer не существует. Агрегатные функции принимают один аргумент и возвращают одно значение, вычисленное на основе набора входных значений из строк",True
66,19,"7, потому что SUM(DISTINCT id1, id2) суммирует уникальные значения обоих столбцов. Задублированное значение {2, 2} в пятой строке не попадет в подсчет суммы",False
67,19,"9, потому что SUM(DISTINCT id1, id2) суммирует уникальные значения обоих столбцов, игнорируя NULL {2, 2, 2, 3}",False
68,19,"0, потому что SUM(DISTINCT id1, id2) считает сумму по всем уникальным значениям внутри заданных столбцов, включая NULL. А как мы знаем NULL плюс любое значение вернет NULL. А SUM(NULL) как и COUNT(NULL) вернет 0",False
69,20,"1. FROM       -- указание источника данных
2. WHERE      -- фильтрация данных
3. GROUP BY   -- группировка данных
4. HAVING     -- фильтрация данных после группировки
5. SELECT     -- перечисление полей результирующей таблицы
6. ORDER BY   -- сортировка результирующей таблицы
7. LIMIT      -- ограничение количества выводимых записей
8. OFFSET     -- пропуск определенного количества строк перед началом вывода",True
70,20,"1. SELECT     -- перечисление полей результирующей таблицы
2. FROM       -- указание источника данных
3. WHERE      -- фильтрация данных
4. GROUP BY   -- группировка данных
5. HAVING     -- фильтрация данных после группировки
6. ORDER BY   -- сортировка результирующей таблицы
7. LIMIT      -- ограничение количества выводимых записей
8. OFFSET     -- пропуск определенного количества строк перед началом вывода",False
71,20,"1. FROM       -- указание источника данных
2. SELECT     -- перечисление полей результирующей таблицы
3. WHERE      -- фильтрация данных
4. GROUP BY   -- группировка данных
5. HAVING     -- фильтрация данных после группировки
6. ORDER BY   -- сортировка результирующей таблицы
7. LIMIT      -- ограничение количества выводимых записей
8. OFFSET     -- пропуск определенного количества строк перед началом вывода",False
72,20,"1. SELECT     -- перечисление полей результирующей таблицы
2. FROM       -- указание источника данных
3. GROUP BY   -- группировка данных
4. WHERE      -- фильтрация данных
5. HAVING     -- фильтрация данных после группировки
6. ORDER BY   -- сортировка результирующей таблицы
7. LIMIT      -- ограничение количества выводимых записей
8. OFFSET     -- пропуск определенного количества строк перед началом вывода",False
73,21,"Ограничения (constraints) — это правила, которые помогают базе данных поддерживать порядок. Они следят, чтобы в таблицы не попадали неправильные или противоречивые данные. 
Ниже самые популярные ограничения: 
PRIMARY KEY — делает столбец (или группу столбцов) уникальным идентификатором каждой строки 
UNIQUE — запрещает дублирующиеся значения в столбце 
NOT NULL — не позволяет хранить пустые (NULL) значения 
DEFAULT — подставляет значение по умолчанию, если ничего не указано 
CHECK — задаёт кастомные условия, например, `age > 0` 
FOREIGN KEY — связывает таблицы, чтобы данные не теряли логику",True
74,21,"Ограничения (constraints) — это правила, которые помогают базе данных поддерживать порядок. Они следят, чтобы в таблицы не попадали неправильные или противоречивые данные. 
Ниже самые популярные ограничения: 
PRIMARY KEY — запрещает дублирующиеся значения в столбце 
UNIQUE — делает столбец (или группу столбцов) уникальным идентификатором каждой строки 
NOT NULL — позволяет хранить пустые (NULL) значения 
DEFAULT — подставляет значение по умолчанию, если ничего не указано 
CHECK — задаёт кастомные условия, например, `age > 0` 
FOREIGN KEY — связывает таблицы, чтобы данные не теряли логику",False
75,21,"Ограничения (constraints) — это правила, которые помогают базе данных поддерживать порядок. Они следят, чтобы в таблицы не попадали неправильные или противоречивые данные. 
Ниже самые популярные ограничения: 
PRIMARY KEY — делает столбец (или группу столбцов) уникальным идентификатором каждой строки 
UNIQUE — запрещает дублирующиеся значения в столбце 
NOT NULL — не позволяет хранить пустые (NULL) значения 
DEFAULT — подставляет значение по умолчанию, если ничего не указано 
CHECK — задаёт кастомные условия, например, `age > 0` 
FOREIGN KEY — запрещает дублирующиеся значения в столбце",False
76,21,"Ограничения (constraints) — это правила, которые помогают базе данных поддерживать порядок. Они следят, чтобы в таблицы не попадали неправильные или противоречивые данные. 
Ниже самые популярные ограничения: 
PRIMARY KEY — делает столбец (или группу столбцов) уникальным идентификатором каждой строки 
UNIQUE — запрещает дублирующиеся значения в столбце 
NOT NULL — не позволяет хранить пустые (NULL) значения 
DEFAULT — проверяет что значение соответствует типу по умолчанию 
CHECK — задаёт кастомные условия, например, `age > 0` 
FOREIGN KEY — связывает таблицы, чтобы данные не теряли логику",False
77,22,"SELECT DISTINCT – удаляет дубликаты, и оптимально для больших таблиц, так как не требует полной сортировки данных",False
78,22,"GROUP BY – группирует данные, но оптимально для удаления дубликатов в больших таблицах",False
79,22,"UNION (без ALL) – удаляет дубликаты и оптимально для больших таблиц, так как не требует полной сортировки данных",False
80,22,"ROW_NUMBER() OVER (...) – даст нумерацию дублей. Оптимально для больших таблиц, так как оконные функции позволяют избежать дополнительных операций группировки и подсчета",True
81,23,"Для этого нужен FOREIGN KEY – ограничение, которое связывает одну таблицу с другой.
Как это работает?
- FOREIGN KEY в таблице bookings ссылается на PRIMARY KEY в flights.
- Если попытаться вставить бронирование с несуществующим flight_id, PostgreSQL не позволит это сделать.
- Если удалить рейс, у которого есть бронирования, можно настроить, что делать: запретить (RESTRICT), удалить (CASCADE) или обнулить (SET NULL)",True
82,23,"Для этого нужен UNIQUE KEY – ограничение, которое запрещает дублирование значений в столбце. Это поможет избежать дублирования бронирований, и предотвратит бронирования на несуществующие рейсы. UNIQUE KEY обеспечивает уникальность значений в столбце, и свяжет таблицы.",False
83,23,"Для этого нужен CHECK – ограничение, которое проверяет выполнение условия перед вставкой данных. CHECK может использоваться для проверки условий внутри одной и другой таблицы и для связи между таблицами. Например, можно проверить, что значение столбца больше нуля и можно проверить существование рейса в другой таблице.",False
84,23,"Для этого нужен PRIMARY KEY – ограничение, которое делает столбец уникальным идентификатором каждой строки. PRIMARY KEY обеспечивает уникальность и целостность данных в одной и другой таблице и связывает таблицы между собой. Он предотвратит бронирования на несуществующие рейсы.",False
85,24,"0, потому что оператор LIKE 'Data' ищет точное совпадение строки с Data, а не подстроку",True
86,24,"1, потому что оператор LIKE 'Data' найдёт только одну строку, заканчивающуюся на Data",False
87,24,"3, потому что оператор LIKE 'Data' найдёт строки, начинающиеся на Data",False
88,24,"5, потому что оператор LIKE 'Data' найдёт все строки, содержащие подстроку Data",False
89,25,"Для этого нужен первичный ключ (PRIMARY KEY) – уникальный идентификатор записи.
Как это работает?
- PRIMARY KEY – это столбец (или несколько), который гарантированно уникален.
- В каждой таблице может быть только один первичный ключ.
- Если есть несколько кандидатов на ключ, выбираем наиболее удобный (короткий, неизменяемый)",True
90,25,"Для этого нужен уникальный ключ (UNIQUE KEY) – он обеспечивает уникальность значений в столбце и гарантирует, что столбец будет использоваться как идентификатор записи. UNIQUE KEY может быть несколько в одной таблице",False
91,25,Для этого нужен внешний ключ (FOREIGN KEY) – он связывает одну таблицу с другой и обеспечивает уникальность значений в столбце. FOREIGN KEY используется для поддержания ссылочной целостности между таблицами и рашает поставленную задачу,False
92,25,Для этого нужен индекс (INDEX) – он ускоряет поиск данных в таблице и обеспечивает уникальность значений в столбце. INDEX может быть создан на любом столбце или группе столбцов,False
93,26,"SELECT *, 
       SUM(question_count) OVER (ORDER BY topic_id , difficulty_level) AS question_total
  FROM report_questions;",True
94,26,"SELECT *, 
       SUM(question_count) OVER (ORDER BY topic_id) AS question_total
  FROM report_questions",False
95,26,"SELECT *, 
       SUM(question_count) OVER (ORDER BY difficulty_level) AS question_total
  FROM report_questions",False
96,26,"SELECT *, 
       SUM(question_count) OVER (PARTITION BY topic_id ORDER BY topic_id, difficulty_level) AS question_total
  FROM report_questions",False
97,27,"Да, LEFT JOIN всегда берёт все строки из левой таблицы (A) и добавляет к ним совпадающие строки из правой таблицы (B). Если совпадений нет, в столбцах из B будут `NULL`. Если поменять местами A и B, то теперь уже другая таблица будет ""левой"", а `NULL` появятся там, где раньше были данные",True
98,27,"Нет, результат останется тем же, так как LEFT JOIN всегда возвращает все строки из обеих таблиц. LEFT JOIN возвращает все строки левой таблицы и совпадающие строки из правой таблицы, а также выводит те по которым не было совпадения сначала из левой, а потом из правой. Только порядок строк поменяется",False
99,27,"Да, но только если в таблицах A и B есть одинаковые столбцы. Порядок таблиц в LEFT JOIN всегда имеет значение, а при наличии наличия одинаковых столбцов по которым происходит сравнение в условии после ON. Получается в одном случае справа отразится столбец правой таблицы, а после перестановки столбец левой. А так как задано, что таблицы разные, то результат изменится",False
100,27,"Нет, результат останется тем же, так как порядок таблиц в LEFT JOIN не имеет значения. Порядок таблиц в LEFT JOIN определяет, какие строки будут возвращены из левой таблицы и какие строки будут дополнены из правой таблицы. Поэтому после перестановки просто поменяется порядок столбцов, но это не считается изменением так как данные в строках не изменятся",False
101,28,"Нет, результат останется тем же, так как INNER JOIN возвращает только те строки, которые имеют совпадения в обеих таблицах. Порядок таблиц в INNER JOIN не влияет на результат, так как он просто объединяет строки, удовлетворяющие условию соединения",True
102,28,"Да, результат изменится, так как порядок таблиц в INNER JOIN определяет, какие строки будут возвращены из правой таблицы сначала и какие строки будут дополнены из левой таблицы. Поэтому INNER JOIN возвращает сначала значения из правой таблицы и потом дополняет их справа соответствующими значениями из левой таблицы. Там где соответсвий нет ставится NULL. Поэтому при смене порядка результат изменится",False
103,28,"Нет, результат останется тем же, так как INNER JOIN всегда возвращает все строки из обеих таблиц, независимо от порядка таблиц и соответствия. INNER JOIN возвращает все строки из таблиц сначала совпадающие строки из обеих таблиц",False
104,28,"Да, результат изменится, так как порядок таблиц в INNER JOIN определяет, какие строки будут возвращены из левой таблицы и какие строки будут дополнены из правой таблицы. Поэтому INNER JOIN возвращает сначала значения из левой таблицы и соответствующие значения из правой таблицы. Там где соответсвий нет ставится NULL. Поэтому при смене порядка результат изменится",False
105,29,"✅ INNER JOIN (A, B) ⇔ INNER JOIN (B, A)
✅ LEFT JOIN (A, B) ⇔ RIGHT JOIN (B, A)
✅ RIGHT JOIN (A, B) ⇔ LEFT JOIN (B, A)
✅ FULL JOIN (A, B) ⇔ FULL JOIN (B, A)
❌ LEFT JOIN (A, B) ≠ LEFT JOIN (B, A)
❌ RIGHT JOIN (A, B) ≠ RIGHT JOIN (B, A)",True
106,29,"❌ INNER JOIN (A, B) ≠ INNER JOIN (B, A)
✅ LEFT JOIN (A, B) ⇔ RIGHT JOIN (B, A)
✅ RIGHT JOIN (A, B) ⇔ LEFT JOIN (B, A)
❌ FULL JOIN (A, B) ≠ FULL JOIN (B, A)
✅ LEFT JOIN (A, B) ⇔ LEFT JOIN (B, A)
✅ RIGHT JOIN (A, B) ⇔ RIGHT JOIN (B, A)",False
107,29,"✅ INNER JOIN (A, B) ⇔ INNER JOIN (B, A)
✅ LEFT JOIN (A, B) ⇔ RIGHT JOIN (B, A)
✅ RIGHT JOIN (A, B) ⇔ LEFT JOIN (B, A)
❌ FULL JOIN (A, B) ≠ FULL JOIN (B, A)
❌ LEFT JOIN (A, B) ≠ LEFT JOIN (B, A)
❌ RIGHT JOIN (A, B) ≠ RIGHT JOIN (B, A)",False
108,29,"✅ INNER JOIN (A, B) ⇔ INNER JOIN (B, A)
✅ LEFT JOIN (A, B) ⇔ RIGHT JOIN (B, A)
❌ RIGHT JOIN (A, B) ≠ LEFT JOIN (B, A)
✅ FULL JOIN (A, B) ⇔ FULL JOIN (B, A)
❌ LEFT JOIN (A, B) ≠ LEFT JOIN (B, A)
❌ RIGHT JOIN (A, B) ≠ RIGHT JOIN (B, A)",False
109,30,"Подзапросы в PostgreSQL бывают трех видов: коррелированные, некоррелированные и вложенные.
1. Коррелированные подзапросы — зависят от данных из внешнего запроса. Выполняются для каждой строки внешнего запроса, поэтому могут быть медленными.
2. Некоррелированные подзапросы — работают независимо, их можно выполнить отдельно. Они просто возвращают данные, которые используются в основном запросе.
3. Вложенные подзапросы — это просто подзапросы внутри других запросов, безотносительно к тому, коррелированные они или нет.
💡 Важно: В официальной документации PostgreSQL чёткого разделения на такие типы нет — это скорее общепринятые термины из SQL-стандартов и литературы. Единственное, что явно упоминается в документации PostgreSQL, — это скалярные подзапросы (те, что возвращают одно значение)",True
